id,prefix,firstName,middleInitial,lastName,fullName
1,HON.,FRANCISCO,M,SENERPIDA,HON FRANCISCO M. SENERPIDA
2,HON.,ALEXANDER,M,GESTOPA,HON. ALEXANDER M. GESTOPA
3,HON.,ALLEY,B,BERDIN,HON. ALLEY B. BERDIN
4,HON.,ANNABETH,D,CUIZON,HON. ANNABETH D. CUIZON
5,HON.,ARIANE,D,NEIL MARIE YAP,HON. ARIANE NEIL MARIE D. YAP
6,HON.,CAMILO,V,EYAS,HON. CAMILO V. EYAS
7,HON.,CECILIA,F,MALINGIN,HON. CECILIA F. MALINGIN
8,HON.,CELESTINO,C,AYING,HON. CELESTINO C. AYING
9,HON.,CIPRIANO,D,FLORES,HON. CIPRIANO D. FLORES
10,HON.,CLIMACO,A,TATOY JR.,HON. CLIMACO A. TATOY JR.
11,HON.,CORAZON,I,OUANO,HON. CORAZON I. OUANO
12,HON.,CORNELIO,A,PAHANG,HON. CORNELIO A. PAHANG
13,HON.,DAMIAN,T,GOMEZ,HON. DAMIAN T. GOMEZ
14,HON.,DELILLO,L,GALVEZ,HON. DELILLO L. GALVEZ
15,HON.,EDUARDO,L,CUIZON,HON. EDUARDO L. CUIZON
16,HON.,EDUARDO,R,PATALINJUG,HON. EDUARDO R. PATALINJUG
17,HON.,EFREN,T,HERRERA,HON. EFREN T. HERRERA
18,HON.,ELIAS,L,BERDIN,HON. ELIAS L. BERDIN
19,HON.,EMILIO,L,GALAROZA JR.,HON. EMILIO L. GALAROZA JR.
20,HON.,EUGENE,S,ESPEDIDO,HON. EUGENE S. ESPEDIDO
21,HON.,EUSEBIO,J,SANTIAGO,HON. EUSEBIO J. SANTIAGO
22,HON.,FLAVIANO,A,HIYAS,HON. FLAVIANO A. HIYAS
23,HON.,FLORITO,T,POZON,HON. FLORITO T. POZON
25,HON.,GREGORIO,A,PAQUIBOT,HON. GREGORIO A. PAQUIBOT
26,HON.,HARRY,A,DON RADAZA,HON. HARRY DON A. RADAZA
27,HON.,JAN,A,VINCENT DELA SERNA,HON. JAN VINCENT A. DELA SERNA
28,HON.,JASMINE,K,MARIE CHAN,HON. JASMINE MARIE K. CHAN
29,HON.,JEORGEN,E,BOOK,HON. JEORGEN E. BOOC
30,HON.,JOSE,P,DUNGOG,HON. JOSE P. DUNGOG
31,HON.,JOSEPH,T,PANGATUNGAN,HON. JOSEPH T. PANGATUNGAN
32,HON.,JUNARD,Q,CHAN,HON. JUNARD Q. CHAN
33,HON.,LAIKA,J,TAMPUS,HON. LAIKA J. TAMPUS
34,HON.,LEO,F,MERCADO,HON. LEO F. MERCADO
35,HON.,LINDA,C,SUSAN BARING,HON. LINDA SUSAN C. BARING
36,HON.,MARCIAL,A,YCONG,HON. MARCIAL A. YCONG
37,HON.,MARCIANO,A,ALFORQUE,HON. MARCIANO A. ALFORQUE
38,HON.,MARIO,Y,AMORES,HON. MARIO Y. AMORES
39,HON.,MELISSA,D,VIDAL,HON. MELISSA D. VIDAL
40,HON.,MICHAEL,M,DIGNOS,HON. MICHAEL M. DIGNOS
41,HON.,NELSON,O,YAP,HON. NELSON O. YAP
42,HON.,ORLAN,C,JOSEPH CARUNGAY,HON. ORLAN JOSEPH C. CARUNGAY
43,HON.,QUEENIE,M,AMMANN,HON. QUEENIE M. AMMANN
44,HON.,REX,A,MANGUBAT,HON. REX A. MANGUBAT
45,HON.,REYMAR,E,DICO,HON. REYMAR E. DICO
46,HON.,RICARDO,D,AMORES,HON. RICARDO D. AMORES
47,HON.,RODOLFO,P,POTOT,HON. RODOLFO P. POTOT
48,HON.,ROQUE,P,WAGWAG,HON. ROQUE P. WAGWAG
49,HON. HON.,ROQUE,P,WAGWAG,HON. HON. ROQUE P. WAGWAG
50,HON.,CELEDONIO,B,SITOY,HON. CELEDONIO B. SITOY
51,HON.,DOLORES,F,ABELLANOSA,HON. DOLORES F. ABELLANOSA
52,HON.,ERNEST,D,LUKE WEIGEL,HON. ERNEST LUKE D. WEIGEL
53,HON.,FRANCES,P,NICOLE BALAO,HON. FRANCES NICOLE P. BALAO
54,HON.,GAYSEL,S,ANTONETTE IGOT,HON. GAYSEL ANTONETTE S. IGOT
55,HON.,GODOFREDO,B,BERAME,HON. GODOFREDO B. BERAME
56,HON. HON.,PLACIDO,L,NGUYO,HON. HON. PLACIDO L. NGUYO
57,HON.,ISABELO,F,YCONG,HON. ISABELO F. YCONG
58,HON.,JEANNIFY,S,TAN DUNGOG,HON. JEANNIFY S. TAN DUNGOG
59,HON.,LUCRECIA,M,AMORES,HON. LUCRECIA M. AMORES
61,HON.,QUIRICO,C,MALINGIN,HON. QUIRICO C. MALINGIN
62,HON.,RAMON,R,PATALINJUG,HON. RAMON R. PATALINJUG
63,HON.,ADRIANO,C,ORTIZ,HON. ADRIANO C. ORTIZ
64,HON.,ALLAN,T,HERRERA,HON. ALLAN T. HERRERA
